"difficult_open","feedback_open"
"No","Hard to remember when I was diagnosed with what "
"The video example did not show up so I just had to go off the written instructions. ",""
"No","No"
"","Hope this helps Mel :]"
"",""
"No","No"
"A little confusing on if we could just touch and go vs sitting dor a second ","None"
"No","No"
"No","No"
"no","no"
"No","Nope"
"",""
"No",""
"Accessing the program","I do 30-45 min of activity/week that is mod strenuous"
"","All the headline news this week made for a sad, depressive week. Whereas I am typically not prone to depression.  "
"No","No"
"No",""
"No",""
"no","no"
"No",""
"",""
"None","None"
"No","None"
"",""
"",""
"",""
"It looked like we’re could push the “Record” button in the instructions to record the video, but it wasn’t an active button. So we’re recorded the video using the camera and uploaded it (which was easy)",""
"No","No"
"No","N/A"
"Couldn’t load the instructional video. ",""
"No","Took longer than I expected"
"","The instruction video didn't load on my phone, only on my computer."
"Nope","No thanks"
"No, it is easy to follow.",""
"There was a lot of material to read. ","No"
"No","Simple"
"No","No"
"","Survey is too long "
"",""
"N/A","N/A"
"Video did not work (had to watch partner's video). His page crashed afterwards. ",""
"No","Context: I spent this past week camping, which may distort my results. "
"Video would load so followed writen directions ","Too long"
"",""
"Uploading the video was difficult. I encountered an error.","It was not clear if I could upload from my PC"
"No","No"
"",""
"No","No"
"",""
"The last bunch of questions had comments like confident or not confident which confused me as they didn’t seem like appropriate comments for the questions",""
"The instruction video didn’t work but the instructions were clear",""
"Need to coordinate with someone to take the video. ",""
"Mo","No"
"",""
"no!","no"
"",""
"Nope!","None"
"No","No"
"No. ","No. "
"",""
"",""
"It would be good to have a note in the instructions if you want the whole body captured in the video frame","No"
"","My chair was a little tall, does the height of the chair matter?"
"The example video before the instructions didn’t play, so I watched the example video from the landing page of the website instead.",""
"No","None"
"No","No"
"No","Nothing specific"
"No","Some of the questions were unclear e.g. the last one: how long would I be exercising thrice a week for 20 min? Just one week? Or like, perpetually? And my feelings towards exercise vary greatly depending on what the exercise is. Also, my exercise during the past week has been vastly different (way less) than in previous weeks. Not sure if I should have marked that but there didn't seem to be a place for that"
"Video says to stand slowly then repeat quickly 5 times","No"
"No","BOOM - awesome study"
"Nope","Nope"
"no","no, thanks hope this helps"
"No","No"
"understanding how quickly to stand up and sit down","thanks for the opportunity to participate"
"No","No"
"No","No "
"No","No"
"No","No"
"",""
"The instructional video didnt play but the written instructions were good",""
"The video didn’t play and I wasn’t sure if I should kee my arms folded while standing",""
"No, however the instruction video would not load for me so my video is a reflection of my interpretation ",""
"No",""
"No","N/a"
"No",""
"No","No"
"No","I was recovering from Covid over the last 3 weeks so used my general exercise practice pre-covid. Although did use my exercise minutes and steps from this past week"
"No",""
